GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
waes-assignment,org.miya.waes.entity,Base64Comparison,4,26,0,0,0,8,1,7,1,7
waes-assignment,org.miya.waes.service,Base64DiffServiceImpl,67,3,12,0,13,1,7,1,1,1
waes-assignment,org.miya.waes.service,Base64ComparisonServiceImpl,59,6,0,0,7,3,6,1,6,1
waes-assignment,org.miya.waes.dto,DiffResponseDTO,33,0,0,0,14,0,6,0,6,0
waes-assignment,org.miya.waes.dto,Base64DTO,0,10,0,0,0,3,0,3,0,3
waes-assignment,org.miya.waes.dto,Base64ComparisonDTOMapper,0,18,0,0,0,5,0,1,0,1
waes-assignment,org.miya.waes.dto,Base64ComparisonDTO,0,24,0,0,0,5,0,7,0,7
waes-assignment,org.miya.waes,WaesAssignmentApplication,5,3,0,0,2,1,1,1,1,1
waes-assignment,org.miya.waes.controller,Base64ComparisonController,33,9,0,0,6,4,3,1,3,1
waes-assignment,org.miya.waes.exception,IDNotFoundException,4,0,0,0,2,0,1,0,1,0
waes-assignment,org.miya.waes.exception,ExceptionResponse,0,9,0,0,0,2,0,2,0,2
waes-assignment,org.miya.waes.exception,SideNotFoundException,4,0,0,0,2,0,1,0,1,0
waes-assignment,org.miya.waes.exception,ControllerAdvisor,10,3,0,0,1,1,1,1,1,1
